                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8762,                 4.2243,                 1.8282,                0.43592,                0.37736,                0.37639,                0.17057,                 1.6734,                  4.763,                 1.7486,                0.00044,                0.00044,                0.00044
                      2,                 1.6925,                 2.0302,                 1.6443,                0.49672,                0.34906,                0.34576,                0.14702,                 2.4073,                 3.7012,                 3.1022,              0.0008703,              0.0008703,              0.0008703
                      3,                 1.8755,                 1.9867,                 1.8586,                0.09671,                0.09434,                0.03542,                0.01363,                 2.8203,                 18.443,                 6.1357,              0.0012702,              0.0012702,              0.0012702
                      4,                 1.8683,                 1.7578,                   1.86,                0.01115,                0.09434,                0.00623,                 0.0019,                 2.7788,                 12.431,                 5.3966,              0.0016398,              0.0016398,              0.0016398
                      5,                 1.8721,                 1.8217,                  2.009,                0.36256,                0.38679,                 0.2928,                0.13265,                 2.4254,                 4.1226,                 2.7868,               0.001736,               0.001736,               0.001736
                      6,                 1.9018,                 1.8348,                 1.9802,                0.09571,                0.06604,                0.01788,                0.00595,                 3.0994,                 9.2983,                 3.2954,               0.001736,               0.001736,               0.001736
                      7,                 1.9653,                 1.8622,                 2.0373,                  0.263,                0.38679,                0.25253,                0.11425,                 2.3091,                 3.9325,                 2.6101,                0.00167,                0.00167,                0.00167
                      8,                 1.8012,                 1.6778,                 1.8722,                 0.6315,                0.35849,                0.47107,                0.21855,                 2.0152,                 2.0322,                 2.2918,               0.001604,               0.001604,               0.001604
                      9,                 1.8632,                 1.5883,                 1.9317,                0.51151,                0.58491,                0.52981,                0.24709,                 1.9847,                 2.0122,                 2.2414,               0.001538,               0.001538,               0.001538
                     10,                 1.7449,                 1.5919,                  1.792,                0.71679,                0.61321,                0.64695,                0.29469,                 1.7685,                 1.8472,                 2.1745,               0.001472,               0.001472,               0.001472
                     11,                 1.7844,                 1.5402,                 1.8142,                0.66751,                0.63208,                0.67893,                0.32737,                 1.7858,                 1.9246,                 2.1635,               0.001406,               0.001406,               0.001406
                     12,                 1.6617,                 1.3896,                  1.785,                0.78792,                0.66597,                0.80158,                 0.3994,                 1.7325,                 1.4788,                 1.9488,                0.00134,                0.00134,                0.00134
                     13,                 1.6632,                 1.3251,                 1.7007,                 0.8771,                0.76415,                0.83976,                0.41199,                  1.677,                 1.2309,                 1.9058,               0.001274,               0.001274,               0.001274
                     14,                 1.7166,                 1.3859,                 1.7938,                0.64381,                0.71619,                0.72799,                0.34785,                 1.8306,                 1.3781,                 2.0056,               0.001208,               0.001208,               0.001208
                     15,                 1.6301,                 1.3306,                 1.6739,                0.92323,                0.68077,                0.86152,                 0.4544,                 1.5642,                 1.4653,                 1.8341,               0.001142,               0.001142,               0.001142
                     16,                 1.5578,                 1.3027,                 1.6589,                0.83674,                0.76415,                0.85955,                0.48005,                 1.5712,                  1.212,                 1.8173,               0.001076,               0.001076,               0.001076
                     17,                 1.5294,                  1.201,                  1.658,                0.85633,                0.78725,                0.88088,                0.46009,                 1.6106,                 1.2269,                 1.8404,                0.00101,                0.00101,                0.00101
                     18,                 1.6675,                 1.2873,                 1.7308,                0.86557,                0.72896,                 0.8584,                0.46751,                 1.5421,                 1.1589,                 1.8338,               0.000944,               0.000944,               0.000944
                     19,                 1.6186,                  1.298,                 1.7526,                0.75244,                0.82075,                0.87922,                0.51857,                 1.3882,                  1.076,                 1.6783,               0.000878,               0.000878,               0.000878
                     20,                 1.5074,                 1.1882,                 1.6151,                0.89351,                0.83962,                0.91588,                0.54891,                  1.433,                0.98094,                 1.6779,               0.000812,               0.000812,               0.000812
                     21,                 1.4652,                 1.1034,                 1.6834,                0.84193,                0.83019,                 0.9318,                0.52129,                 1.4603,                 1.0317,                 1.7225,               0.000746,               0.000746,               0.000746
                     22,                 1.4139,                0.97813,                 1.6145,                0.81438,                0.80189,                 0.8899,                0.52635,                 1.5472,                 1.0202,                 1.7363,                0.00068,                0.00068,                0.00068
                     23,                 1.3804,                0.90312,                 1.5716,                0.92607,                0.82728,                0.94445,                  0.586,                 1.4086,                0.91722,                 1.6662,               0.000614,               0.000614,               0.000614
                     24,                 1.3691,                0.85479,                 1.5916,                0.95437,                0.78932,                 0.9352,                0.56708,                 1.3847,                0.89208,                 1.6643,               0.000548,               0.000548,               0.000548
                     25,                 1.3128,                0.81108,                 1.5417,                0.95787,                0.83962,                 0.9492,                0.57044,                 1.3933,                0.88695,                 1.6444,               0.000482,               0.000482,               0.000482
                     26,                 1.3215,                 0.7865,                 1.5555,                0.92848,                0.83019,                0.92974,                0.56311,                 1.3981,                0.92705,                  1.653,               0.000416,               0.000416,               0.000416
                     27,                 1.2466,                0.74955,                 1.4681,                0.91013,                0.86792,                0.94922,                0.59289,                 1.3348,                 0.8497,                 1.6013,                0.00035,                0.00035,                0.00035
                     28,                 1.2174,                0.76462,                  1.446,                0.89056,                0.90566,                0.95646,                0.59844,                 1.3331,                0.81553,                 1.5802,               0.000284,               0.000284,               0.000284
                     29,                 1.2069,                0.72505,                 1.4347,                0.91281,                0.90566,                0.96255,                0.60243,                 1.3237,                0.78037,                 1.5829,               0.000218,               0.000218,               0.000218
                     30,                 1.1692,                0.70357,                 1.3985,                0.90709,                0.92453,                0.95017,                0.60037,                 1.3435,                0.76048,                 1.5813,               0.000152,               0.000152,               0.000152
