               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8754,              2.9199,              1.7336,             0.90032,             0.65094,             0.81431,              0.4207,              1.5548,               1.264,              1.8248,             0.07033,           0.0032967,           0.0032967
                   1,              1.7007,              1.7466,              1.6228,             0.61362,             0.62927,             0.68351,              0.3465,              1.4566,              1.5956,              1.7089,            0.040111,           0.0064112,           0.0064112
                   2,              1.6632,              2.2092,              1.5978,             0.77246,             0.65094,             0.69271,             0.39285,              1.5166,              2.1985,              1.7745,           0.0096721,           0.0093058,           0.0093058
                   3,              1.6344,              2.2563,              1.6062,             0.88214,             0.63552,             0.79669,              0.4583,              1.5179,              1.2027,              1.7472,             0.00901,             0.00901,             0.00901
                   4,              1.6184,              1.6336,              1.6341,             0.80752,             0.69811,             0.78443,             0.43898,              1.5033,              1.1706,              1.7677,             0.00901,             0.00901,             0.00901
                   5,              1.6334,              1.5134,              1.6149,              0.7049,             0.74528,             0.78432,             0.40509,              1.5216,              1.3246,              1.7766,             0.00868,             0.00868,             0.00868
                   6,              1.6553,              1.6127,              1.6147,             0.70704,             0.65094,             0.71389,             0.36355,              1.4799,              1.7012,               1.798,             0.00835,             0.00835,             0.00835
                   7,              1.7067,              1.6103,              1.6574,             0.86676,              0.6751,             0.77761,             0.42633,              1.5169,              1.3988,              1.8429,             0.00802,             0.00802,             0.00802
                   8,              1.7191,              1.5583,              1.6483,             0.83426,             0.71233,              0.8056,             0.43288,               1.528,               1.322,              1.7949,             0.00769,             0.00769,             0.00769
                   9,              1.6758,              1.4599,              1.6565,             0.75791,             0.68868,             0.78793,             0.44025,              1.5016,              1.2676,               1.848,             0.00736,             0.00736,             0.00736
                  10,               1.678,              1.4122,              1.6709,             0.78127,             0.70765,             0.79569,             0.43424,              1.5272,              1.1821,              1.8127,             0.00703,             0.00703,             0.00703
                  11,              1.6791,              1.5205,              1.6828,             0.84019,             0.84906,             0.89897,             0.46882,              1.4417,              1.2644,              1.7125,              0.0067,              0.0067,              0.0067
                  12,                1.69,              1.3588,                1.68,             0.81495,             0.83019,             0.86029,             0.50095,              1.4083,              1.1492,               1.666,             0.00637,             0.00637,             0.00637
                  13,              1.6477,              1.3549,              1.6363,             0.82463,             0.75416,             0.83881,             0.46087,              1.4472,              1.3059,              1.7225,             0.00604,             0.00604,             0.00604
                  14,               1.619,              1.3823,              1.6224,             0.77892,             0.82075,             0.87434,             0.48842,              1.4793,              1.0865,              1.7672,             0.00571,             0.00571,             0.00571
                  15,              1.5394,              1.1788,              1.6893,             0.86175,             0.76447,              0.8927,             0.49319,              1.5499,              1.1352,              1.8469,             0.00538,             0.00538,             0.00538
                  16,              1.5567,              1.1244,              1.6676,             0.78849,             0.79245,             0.83441,             0.47192,              1.4965,              1.1023,              1.7528,             0.00505,             0.00505,             0.00505
                  17,              1.5336,              1.1317,              1.6623,             0.93166,             0.78302,             0.90126,             0.51308,              1.4568,             0.96476,               1.705,             0.00472,             0.00472,             0.00472
                  18,              1.4516,             0.98611,              1.5844,             0.81211,             0.83962,             0.88995,             0.51744,              1.4885,              1.0477,              1.7093,             0.00439,             0.00439,             0.00439
                  19,              1.5242,             0.94788,              1.6096,             0.80527,             0.78028,             0.86294,              0.4623,              1.5592,              1.0411,                 1.8,             0.00406,             0.00406,             0.00406
                  20,              1.4675,             0.96823,              1.6422,             0.79396,             0.91509,              0.9011,             0.51838,              1.4946,             0.98437,              1.7153,             0.00373,             0.00373,             0.00373
                  21,              1.5263,              0.9584,               1.632,              0.8268,             0.83019,             0.89804,             0.51546,              1.4852,             0.97113,              1.7152,              0.0034,              0.0034,              0.0034
                  22,              1.4475,             0.92933,               1.568,             0.90098,             0.81132,             0.89343,             0.53872,              1.4095,               0.976,              1.6681,             0.00307,             0.00307,             0.00307
                  23,              1.3694,             0.83051,              1.5464,             0.88786,             0.82166,             0.89767,             0.55535,              1.4355,             0.94275,              1.6859,             0.00274,             0.00274,             0.00274
                  24,              1.3643,             0.88134,              1.5337,             0.92637,             0.81132,             0.92104,             0.55146,              1.3929,             0.86906,              1.6218,             0.00241,             0.00241,             0.00241
                  25,              1.3179,             0.79749,              1.4756,             0.95656,             0.83095,             0.94225,             0.57983,              1.3437,             0.81484,               1.623,             0.00208,             0.00208,             0.00208
                  26,              1.3511,             0.78491,               1.527,             0.92441,             0.92453,             0.96317,             0.56703,              1.3785,             0.80436,              1.6377,             0.00175,             0.00175,             0.00175
                  27,               1.343,             0.77614,              1.4955,             0.94088,             0.89623,             0.96429,             0.57301,              1.3736,             0.80097,              1.5918,             0.00142,             0.00142,             0.00142
                  28,              1.2626,             0.73416,              1.4414,             0.90537,             0.90566,             0.96451,             0.58235,              1.3835,             0.77532,              1.5899,             0.00109,             0.00109,             0.00109
                  29,               1.262,             0.71332,              1.4096,              0.9145,             0.93396,               0.967,             0.60362,              1.3313,             0.73213,              1.5544,             0.00076,             0.00076,             0.00076
